Iso_code,Country,Relationship,Year,Unity,Value
VEN,Venezuela (Bolivarian Republic of),Perpetrator unknown to the victim,2016,Counts,507
AUT,Austria,Perpetrator unknown to the victim,2017,Counts,859
BHS,Bahamas,Perpetrator unknown to the victim,2017,Counts,57
BOL,Bolivia (Plurinational State of),Perpetrator unknown to the victim,2017,Counts,1069
CAN,Canada,Perpetrator unknown to the victim,2017,Counts,4579
CHE,Switzerland,Perpetrator unknown to the victim,2017,Counts,795
COL,Colombia,Perpetrator unknown to the victim,2017,Counts,1172
DEU,Germany,Perpetrator unknown to the victim,2017,Counts,12189
ESP,Spain,Perpetrator unknown to the victim,2017,Counts,4786
HUN,Hungary,Perpetrator unknown to the victim,2017,Counts,92
KGZ,Kyrgyzstan,Perpetrator unknown to the victim,2017,Counts,45
KNA,Saint Kitts and Nevis,Perpetrator unknown to the victim,2017,Counts,15
LTU,Lithuania,Perpetrator unknown to the victim,2017,Counts,25
LVA,Latvia,Perpetrator unknown to the victim,2017,Counts,18
MEX,Mexico,Perpetrator unknown to the victim,2017,Counts,5009
MNG,Mongolia,Perpetrator unknown to the victim,2017,Counts,71
NZL,New Zealand,Perpetrator unknown to the victim,2017,Counts,306
OMN,Oman,Perpetrator unknown to the victim,2017,Counts,0
PAN,Panama,Perpetrator unknown to the victim,2017,Counts,0
SLV,El Salvador,Perpetrator unknown to the victim,2017,Counts,3592
SVK,Slovakia,Perpetrator unknown to the victim,2017,Counts,515
SVN,Slovenia,Perpetrator unknown to the victim,2017,Counts,97
VEN,Venezuela (Bolivarian Republic of),Perpetrator unknown to the victim,2017,Counts,367
AUT,Austria,Perpetrator unknown to the victim,2018,Counts,1137
BHS,Bahamas,Perpetrator unknown to the victim,2018,Counts,43
BOL,Bolivia (Plurinational State of),Perpetrator unknown to the victim,2018,Counts,769
CAN,Canada,Perpetrator unknown to the victim,2018,Counts,5141
CHE,Switzerland,Perpetrator unknown to the victim,2018,Counts,808
COL,Colombia,Perpetrator unknown to the victim,2018,Counts,1122
DEU,Germany,Perpetrator unknown to the victim,2018,Counts,14597
ESP,Spain,Perpetrator unknown to the victim,2018,Counts,5842
GUY,Guyana,Perpetrator unknown to the victim,2018,Counts,10
HRV,Croatia,Perpetrator unknown to the victim,2018,Counts,11
HUN,Hungary,Perpetrator unknown to the victim,2018,Counts,44
KGZ,Kyrgyzstan,Perpetrator unknown to the victim,2018,Counts,58
KNA,Saint Kitts and Nevis,Perpetrator unknown to the victim,2018,Counts,3
LTU,Lithuania,Perpetrator unknown to the victim,2018,Counts,11
LVA,Latvia,Perpetrator unknown to the victim,2018,Counts,7
MEX,Mexico,Perpetrator unknown to the victim,2018,Counts,7961
MMR,Myanmar,Perpetrator unknown to the victim,2018,Counts,30
MNG,Mongolia,Perpetrator unknown to the victim,2018,Counts,132
NZL,New Zealand,Perpetrator unknown to the victim,2018,Counts,255
OMN,Oman,Perpetrator unknown to the victim,2018,Counts,0
PAN,Panama,Perpetrator unknown to the victim,2018,Counts,0
SLV,El Salvador,Perpetrator unknown to the victim,2018,Counts,4195
SVK,Slovakia,Perpetrator unknown to the victim,2018,Counts,510
SVN,Slovenia,Perpetrator unknown to the victim,2018,Counts,83
VEN,Venezuela (Bolivarian Republic of),Perpetrator unknown to the victim,2018,Counts,383
AUT,Austria,Perpetrator unknown to the victim,2019,Counts,941
BOL,Bolivia (Plurinational State of),Perpetrator unknown to the victim,2019,Counts,3039
CAN,Canada,Perpetrator unknown to the victim,2019,Counts,5073
CHE,Switzerland,Perpetrator unknown to the victim,2019,Counts,339
DEU,Germany,Perpetrator unknown to the victim,2019,Counts,13540
ESP,Spain,Perpetrator unknown to the victim,2019,Counts,6347
GUY,Guyana,Perpetrator unknown to the victim,2019,Counts,35
HRV,Croatia,Perpetrator unknown to the victim,2019,Counts,34
HUN,Hungary,Perpetrator unknown to the victim,2019,Counts,38
KGZ,Kyrgyzstan,Perpetrator unknown to the victim,2019,Counts,256
KNA,Saint Kitts and Nevis,Perpetrator unknown to the victim,2019,Counts,0
LTU,Lithuania,Perpetrator unknown to the victim,2019,Counts,27
LVA,Latvia,Perpetrator unknown to the victim,2019,Counts,18
MEX,Mexico,Perpetrator unknown to the victim,2019,Counts,9699
MNG,Mongolia,Perpetrator unknown to the victim,2019,Counts,87
PAN,Panama,Perpetrator unknown to the victim,2019,Counts,0
SLV,El Salvador,Perpetrator unknown to the victim,2019,Counts,4234
SVK,Slovakia,Perpetrator unknown to the victim,2019,Counts,570
SVN,Slovenia,Perpetrator unknown to the victim,2019,Counts,59
SWE,Sweden,Perpetrator unknown to the victim,2019,Counts,3075
AUT,Austria,Perpetrator unknown to the victim,2020,Counts,869
BOL,Bolivia (Plurinational State of),Perpetrator unknown to the victim,2020,Counts,2430
CAN,Canada,Perpetrator unknown to the victim,2020,Counts,4050
CHE,Switzerland,Perpetrator unknown to the victim,2020,Counts,402
CZE,Czechia,Perpetrator unknown to the victim,2020,Counts,3
DEU,Germany,Perpetrator unknown to the victim,2020,Counts,12223
ESP,Spain,Perpetrator unknown to the victim,2020,Counts,4941
GRC,Greece,Perpetrator unknown to the victim,2020,Counts,4
GUY,Guyana,Perpetrator unknown to the victim,2020,Counts,7
HRV,Croatia,Perpetrator unknown to the victim,2020,Counts,40
HUN,Hungary,Perpetrator unknown to the victim,2020,Counts,57
KGZ,Kyrgyzstan,Perpetrator unknown to the victim,2020,Counts,158
KNA,Saint Kitts and Nevis,Perpetrator unknown to the victim,2020,Counts,0
LTU,Lithuania,Perpetrator unknown to the victim,2020,Counts,19
LVA,Latvia,Perpetrator unknown to the victim,2020,Counts,3
MAR,Morocco,Perpetrator unknown to the victim,2020,Counts,206
MEX,Mexico,Perpetrator unknown to the victim,2020,Counts,11283
MMR,Myanmar,Perpetrator unknown to the victim,2020,Counts,11
MNG,Mongolia,Perpetrator unknown to the victim,2020,Counts,78
PAN,Panama,Perpetrator unknown to the victim,2020,Counts,0
SLV,El Salvador,Perpetrator unknown to the victim,2020,Counts,3421
SVK,Slovakia,Perpetrator unknown to the victim,2020,Counts,496
SVN,Slovenia,Perpetrator unknown to the victim,2020,Counts,46
SWE,Sweden,Perpetrator unknown to the victim,2020,Counts,4775
AUT,Austria,Perpetrator unknown to the victim,2021,Counts,934
BHS,Bahamas,Perpetrator unknown to the victim,2021,Counts,15
BLZ,Belize,Perpetrator unknown to the victim,2021,Counts,33
BOL,Bolivia (Plurinational State of),Perpetrator unknown to the victim,2021,Counts,2931
CAN,Canada,Perpetrator unknown to the victim,2021,Counts,4561
CHE,Switzerland,Perpetrator unknown to the victim,2021,Counts,407
COL,Colombia,Perpetrator unknown to the victim,2021,Counts,0
CZE,Czechia,Perpetrator unknown to the victim,2021,Counts,1
DEU,Germany,Perpetrator unknown to the victim,2021,Counts,11757
ESP,Spain,Perpetrator unknown to the victim,2021,Counts,6912
GUY,Guyana,Perpetrator unknown to the victim,2021,Counts,0
HRV,Croatia,Perpetrator unknown to the victim,2021,Counts,55
HUN,Hungary,Perpetrator unknown to the victim,2021,Counts,53
KNA,Saint Kitts and Nevis,Perpetrator unknown to the victim,2021,Counts,2
LTU,Lithuania,Perpetrator unknown to the victim,2021,Counts,17
LVA,Latvia,Perpetrator unknown to the victim,2021,Counts,5
MEX,Mexico,Perpetrator unknown to the victim,2021,Counts,12537
SLV,El Salvador,Perpetrator unknown to the victim,2021,Counts,4509
SVK,Slovakia,Perpetrator unknown to the victim,2021,Counts,479
SVN,Slovenia,Perpetrator unknown to the victim,2021,Counts,58
SWE,Sweden,Perpetrator unknown to the victim,2021,Counts,5248
VAT,Holy See,Perpetrator unknown to the victim,2021,Counts,0
AUT,Austria,Perpetrator unknown to the victim,2022,Counts,1115
BHS,Bahamas,Perpetrator unknown to the victim,2022,Counts,24
BLZ,Belize,Perpetrator unknown to the victim,2022,Counts,104
BOL,Bolivia (Plurinational State of),Perpetrator unknown to the victim,2022,Counts,3392
CAN,Canada,Perpetrator unknown to the victim,2022,Counts,5195
CHE,Switzerland,Perpetrator unknown to the victim,2022,Counts,430
COL,Colombia,Perpetrator unknown to the victim,2022,Counts,0
CZE,Czechia,Perpetrator unknown to the victim,2022,Counts,0
DEU,Germany,Perpetrator unknown to the victim,2022,Counts,15901
ESP,Spain,Perpetrator unknown to the victim,2022,Counts,8081
GUY,Guyana,Perpetrator unknown to the victim,2022,Counts,0
HND,Honduras,Perpetrator unknown to the victim,2022,Counts,0
HRV,Croatia,Perpetrator unknown to the victim,2022,Counts,59
HUN,Hungary,Perpetrator unknown to the victim,2022,Counts,69
IRL,Ireland,Perpetrator unknown to the victim,2022,Counts,96
KNA,Saint Kitts and Nevis,Perpetrator unknown to the victim,2022,Counts,10
LTU,Lithuania,Perpetrator unknown to the victim,2022,Counts,24
LVA,Latvia,Perpetrator unknown to the victim,2022,Counts,27
MAR,Morocco,Perpetrator unknown to the victim,2022,Counts,311
MEX,Mexico,Perpetrator unknown to the victim,2022,Counts,16468
MMR,Myanmar,Perpetrator unknown to the victim,2022,Counts,2
SLV,El Salvador,Perpetrator unknown to the victim,2022,Counts,5601
SVK,Slovakia,Perpetrator unknown to the victim,2022,Counts,518
SVN,Slovenia,Perpetrator unknown to the victim,2022,Counts,66
SWE,Sweden,Perpetrator unknown to the victim,2022,Counts,4592
VAT,Holy See,Perpetrator unknown to the victim,2022,Counts,0
AUT,Austria,Relationship to perpetrator is not known,2013,Counts,25
CAN,Canada,Relationship to perpetrator is not known,2013,Counts,0
CHE,Switzerland,Relationship to perpetrator is not known,2013,Counts,589
COL,Colombia,Relationship to perpetrator is not known,2013,Counts,2379
CZE,Czechia,Relationship to perpetrator is not known,2013,Counts,39
FIN,Finland,Relationship to perpetrator is not known,2013,Counts,1752
SWE,Sweden,Relationship to perpetrator is not known,2013,Counts,6833
AUT,Austria,Relationship to perpetrator is not known,2014,Counts,7
CAN,Canada,Relationship to perpetrator is not known,2014,Counts,0
CHE,Switzerland,Relationship to perpetrator is not known,2014,Counts,564
COL,Colombia,Relationship to perpetrator is not known,2014,Counts,2379
CZE,Czechia,Relationship to perpetrator is not known,2014,Counts,39
DEU,Germany,Relationship to perpetrator is not known,2014,Counts,3169
FIN,Finland,Relationship to perpetrator is not known,2014,Counts,1792
SWE,Sweden,Relationship to perpetrator is not known,2014,Counts,15474
AUT,Austria,Relationship to perpetrator is not known,2015,Counts,11
BLZ,Belize,Relationship to perpetrator is not known,2015,Counts,185
BOL,Bolivia (Plurinational State of),Relationship to perpetrator is not known,2015,Counts,2403
CAN,Canada,Relationship to perpetrator is not known,2015,Counts,0
CHE,Switzerland,Relationship to perpetrator is not known,2015,Counts,392
COL,Colombia,Relationship to perpetrator is not known,2015,Counts,2592
CZE,Czechia,Relationship to perpetrator is not known,2015,Counts,57
DEU,Germany,Relationship to perpetrator is not known,2015,Counts,2582
FIN,Finland,Relationship to perpetrator is not known,2015,Counts,2172
ITA,Italy,Relationship to perpetrator is not known,2015,Counts,3596
LTU,Lithuania,Relationship to perpetrator is not known,2015,Counts,19
NOR,Norway,Relationship to perpetrator is not known,2015,Counts,512
NZL,New Zealand,Relationship to perpetrator is not known,2015,Counts,2444
SWE,Sweden,Relationship to perpetrator is not known,2015,Counts,13634
VEN,Venezuela (Bolivarian Republic of),Relationship to perpetrator is not known,2015,Counts,1
AUT,Austria,Relationship to perpetrator is not known,2016,Counts,60
AZE,Azerbaijan,Relationship to perpetrator is not known,2016,Counts,72
BLZ,Belize,Relationship to perpetrator is not known,2016,Counts,172
BOL,Bolivia (Plurinational State of),Relationship to perpetrator is not known,2016,Counts,2458
CAN,Canada,Relationship to perpetrator is not known,2016,Counts,0
CHE,Switzerland,Relationship to perpetrator is not known,2016,Counts,408
COL,Colombia,Relationship to perpetrator is not known,2016,Counts,1509
CZE,Czechia,Relationship to perpetrator is not known,2016,Counts,60
DEU,Germany,Relationship to perpetrator is not known,2016,Counts,2183
ESP,Spain,Relationship to perpetrator is not known,2016,Counts,2403
FIN,Finland,Relationship to perpetrator is not known,2016,Counts,2466
FRA,France,Relationship to perpetrator is not known,2016,Counts,24082
HRV,Croatia,Relationship to perpetrator is not known,2016,Counts,365
HUN,Hungary,Relationship to perpetrator is not known,2016,Counts,5
ITA,Italy,Relationship to perpetrator is not known,2016,Counts,3547
LTU,Lithuania,Relationship to perpetrator is not known,2016,Counts,8
LVA,Latvia,Relationship to perpetrator is not known,2016,Counts,11
MNG,Mongolia,Relationship to perpetrator is not known,2016,Counts,36
NOR,Norway,Relationship to perpetrator is not known,2016,Counts,767
NZL,New Zealand,Relationship to perpetrator is not known,2016,Counts,2755
POL,Poland,Relationship to perpetrator is not known,2016,Counts,2895
SWE,Sweden,Relationship to perpetrator is not known,2016,Counts,15907
VEN,Venezuela (Bolivarian Republic of),Relationship to perpetrator is not known,2016,Counts,240
AUT,Austria,Relationship to perpetrator is not known,2017,Counts,62
AZE,Azerbaijan,Relationship to perpetrator is not known,2017,Counts,89
BHS,Bahamas,Relationship to perpetrator is not known,2017,Counts,3
BOL,Bolivia (Plurinational State of),Relationship to perpetrator is not known,2017,Counts,2102
CAN,Canada,Relationship to perpetrator is not known,2017,Counts,10
CHE,Switzerland,Relationship to perpetrator is not known,2017,Counts,666
COL,Colombia,Relationship to perpetrator is not known,2017,Counts,1514
DEU,Germany,Relationship to perpetrator is not known,2017,Counts,1977
ESP,Spain,Relationship to perpetrator is not known,2017,Counts,2197
FIN,Finland,Relationship to perpetrator is not known,2017,Counts,2635
FRA,France,Relationship to perpetrator is not known,2017,Counts,27169
HUN,Hungary,Relationship to perpetrator is not known,2017,Counts,6
ITA,Italy,Relationship to perpetrator is not known,2017,Counts,4104
KNA,Saint Kitts and Nevis,Relationship to perpetrator is not known,2017,Counts,41
LTU,Lithuania,Relationship to perpetrator is not known,2017,Counts,3
LVA,Latvia,Relationship to perpetrator is not known,2017,Counts,17
MEX,Mexico,Relationship to perpetrator is not known,2017,Counts,17421
MNG,Mongolia,Relationship to perpetrator is not known,2017,Counts,0
NOR,Norway,Relationship to perpetrator is not known,2017,Counts,4009
NZL,New Zealand,Relationship to perpetrator is not known,2017,Counts,2938
OMN,Oman,Relationship to perpetrator is not known,2017,Counts,0
POL,Poland,Relationship to perpetrator is not known,2017,Counts,2877
SWE,Sweden,Relationship to perpetrator is not known,2017,Counts,16972
VEN,Venezuela (Bolivarian Republic of),Relationship to perpetrator is not known,2017,Counts,208
AUT,Austria,Relationship to perpetrator is not known,2018,Counts,51
AZE,Azerbaijan,Relationship to perpetrator is not known,2018,Counts,81
BHS,Bahamas,Relationship to perpetrator is not known,2018,Counts,4
BOL,Bolivia (Plurinational State of),Relationship to perpetrator is not known,2018,Counts,2645
CAN,Canada,Relationship to perpetrator is not known,2018,Counts,25
CHE,Switzerland,Relationship to perpetrator is not known,2018,Counts,660
COL,Colombia,Relationship to perpetrator is not known,2018,Counts,1500
DEU,Germany,Relationship to perpetrator is not known,2018,Counts,2183
ESP,Spain,Relationship to perpetrator is not known,2018,Counts,2629
FIN,Finland,Relationship to perpetrator is not known,2018,Counts,3059
FRA,France,Relationship to perpetrator is not known,2018,Counts,32743
GUY,Guyana,Relationship to perpetrator is not known,2018,Counts,2
HRV,Croatia,Relationship to perpetrator is not known,2018,Counts,161
HUN,Hungary,Relationship to perpetrator is not known,2018,Counts,1
ITA,Italy,Relationship to perpetrator is not known,2018,Counts,4368
KNA,Saint Kitts and Nevis,Relationship to perpetrator is not known,2018,Counts,31
LTU,Lithuania,Relationship to perpetrator is not known,2018,Counts,4
LVA,Latvia,Relationship to perpetrator is not known,2018,Counts,25
MEX,Mexico,Relationship to perpetrator is not known,2018,Counts,22144
MNG,Mongolia,Relationship to perpetrator is not known,2018,Counts,0
NOR,Norway,Relationship to perpetrator is not known,2018,Counts,4060
NZL,New Zealand,Relationship to perpetrator is not known,2018,Counts,3338
OMN,Oman,Relationship to perpetrator is not known,2018,Counts,0
POL,Poland,Relationship to perpetrator is not known,2018,Counts,3012
SWE,Sweden,Relationship to perpetrator is not known,2018,Counts,17434
VEN,Venezuela (Bolivarian Republic of),Relationship to perpetrator is not known,2018,Counts,216
AUT,Austria,Relationship to perpetrator is not known,2019,Counts,72
AZE,Azerbaijan,Relationship to perpetrator is not known,2019,Counts,61
CAN,Canada,Relationship to perpetrator is not known,2019,Counts,29
CHE,Switzerland,Relationship to perpetrator is not known,2019,Counts,342
DEU,Germany,Relationship to perpetrator is not known,2019,Counts,2372
DNK,Denmark,Relationship to perpetrator is not known,2019,Counts,4119
ESP,Spain,Relationship to perpetrator is not known,2019,Counts,1672
FIN,Finland,Relationship to perpetrator is not known,2019,Counts,2610
FRA,France,Relationship to perpetrator is not known,2019,Counts,36945
GUY,Guyana,Relationship to perpetrator is not known,2019,Counts,0
HRV,Croatia,Relationship to perpetrator is not known,2019,Counts,260
HUN,Hungary,Relationship to perpetrator is not known,2019,Counts,0
ITA,Italy,Relationship to perpetrator is not known,2019,Counts,4374
KNA,Saint Kitts and Nevis,Relationship to perpetrator is not known,2019,Counts,42
LTU,Lithuania,Relationship to perpetrator is not known,2019,Counts,39
LVA,Latvia,Relationship to perpetrator is not known,2019,Counts,25
MEX,Mexico,Relationship to perpetrator is not known,2019,Counts,29397
NOR,Norway,Relationship to perpetrator is not known,2019,Counts,3733
POL,Poland,Relationship to perpetrator is not known,2019,Counts,3271
SVN,Slovenia,Relationship to perpetrator is not known,2019,Counts,0
SWE,Sweden,Relationship to perpetrator is not known,2019,Counts,10191
AUT,Austria,Relationship to perpetrator is not known,2020,Counts,90
AZE,Azerbaijan,Relationship to perpetrator is not known,2020,Counts,39
CAN,Canada,Relationship to perpetrator is not known,2020,Counts,31
CHE,Switzerland,Relationship to perpetrator is not known,2020,Counts,363
CZE,Czechia,Relationship to perpetrator is not known,2020,Counts,510
DEU,Germany,Relationship to perpetrator is not known,2020,Counts,2764
DNK,Denmark,Relationship to perpetrator is not known,2020,Counts,4186
ESP,Spain,Relationship to perpetrator is not known,2020,Counts,1442
FIN,Finland,Relationship to perpetrator is not known,2020,Counts,2700
FRA,France,Relationship to perpetrator is not known,2020,Counts,36657
GUY,Guyana,Relationship to perpetrator is not known,2020,Counts,0
HRV,Croatia,Relationship to perpetrator is not known,2020,Counts,105
HUN,Hungary,Relationship to perpetrator is not known,2020,Counts,0
ITA,Italy,Relationship to perpetrator is not known,2020,Counts,4097
KNA,Saint Kitts and Nevis,Relationship to perpetrator is not known,2020,Counts,48
LTU,Lithuania,Relationship to perpetrator is not known,2020,Counts,22
LVA,Latvia,Relationship to perpetrator is not known,2020,Counts,16
MAR,Morocco,Relationship to perpetrator is not known,2020,Counts,625
NOR,Norway,Relationship to perpetrator is not known,2020,Counts,3745
POL,Poland,Relationship to perpetrator is not known,2020,Counts,2595
SVN,Slovenia,Relationship to perpetrator is not known,2020,Counts,0
SWE,Sweden,Relationship to perpetrator is not known,2020,Counts,8774
AUT,Austria,Relationship to perpetrator is not known,2021,Counts,55
BHS,Bahamas,Relationship to perpetrator is not known,2021,Counts,2
CAN,Canada,Relationship to perpetrator is not known,2021,Counts,34
CHE,Switzerland,Relationship to perpetrator is not known,2021,Counts,388
COL,Colombia,Relationship to perpetrator is not known,2021,Counts,5810
CZE,Czechia,Relationship to perpetrator is not known,2021,Counts,570
DEU,Germany,Relationship to perpetrator is not known,2021,Counts,2880
DNK,Denmark,Relationship to perpetrator is not known,2021,Counts,5393
ESP,Spain,Relationship to perpetrator is not known,2021,Counts,1849
FIN,Finland,Relationship to perpetrator is not known,2021,Counts,3328
FRA,France,Relationship to perpetrator is not known,2021,Counts,49067
GUY,Guyana,Relationship to perpetrator is not known,2021,Counts,0
HRV,Croatia,Relationship to perpetrator is not known,2021,Counts,125
HUN,Hungary,Relationship to perpetrator is not known,2021,Counts,0
ITA,Italy,Relationship to perpetrator is not known,2021,Counts,4563
KNA,Saint Kitts and Nevis,Relationship to perpetrator is not known,2021,Counts,16
LTU,Lithuania,Relationship to perpetrator is not known,2021,Counts,19
MEX,Mexico,Relationship to perpetrator is not known,2021,Counts,26125
NOR,Norway,Relationship to perpetrator is not known,2021,Counts,4222
POL,Poland,Relationship to perpetrator is not known,2021,Counts,2816
SVN,Slovenia,Relationship to perpetrator is not known,2021,Counts,0
SWE,Sweden,Relationship to perpetrator is not known,2021,Counts,8678
VAT,Holy See,Relationship to perpetrator is not known,2021,Counts,0
AUT,Austria,Relationship to perpetrator is not known,2022,Counts,90
BHS,Bahamas,Relationship to perpetrator is not known,2022,Counts,0
BLZ,Belize,Relationship to perpetrator is not known,2022,Counts,0
CAN,Canada,Relationship to perpetrator is not known,2022,Counts,48
CHE,Switzerland,Relationship to perpetrator is not known,2022,Counts,421
COL,Colombia,Relationship to perpetrator is not known,2022,Counts,5355
CZE,Czechia,Relationship to perpetrator is not known,2022,Counts,601
DEU,Germany,Relationship to perpetrator is not known,2022,Counts,3845
DNK,Denmark,Relationship to perpetrator is not known,2022,Counts,5221
ESP,Spain,Relationship to perpetrator is not known,2022,Counts,2370
FIN,Finland,Relationship to perpetrator is not known,2022,Counts,3413
FRA,France,Relationship to perpetrator is not known,2022,Counts,54905
GUY,Guyana,Relationship to perpetrator is not known,2022,Counts,0
HRV,Croatia,Relationship to perpetrator is not known,2022,Counts,139
HUN,Hungary,Relationship to perpetrator is not known,2022,Counts,0
IRL,Ireland,Relationship to perpetrator is not known,2022,Counts,39
ITA,Italy,Relationship to perpetrator is not known,2022,Counts,5338
KNA,Saint Kitts and Nevis,Relationship to perpetrator is not known,2022,Counts,32
LTU,Lithuania,Relationship to perpetrator is not known,2022,Counts,8
MAR,Morocco,Relationship to perpetrator is not known,2022,Counts,1160
NOR,Norway,Relationship to perpetrator is not known,2022,Counts,3823
POL,Poland,Relationship to perpetrator is not known,2022,Counts,2871
SVN,Slovenia,Relationship to perpetrator is not known,2022,Counts,0
SWE,Sweden,Relationship to perpetrator is not known,2022,Counts,8593
VAT,Holy See,Relationship to perpetrator is not known,2022,Counts,0
AUT,Austria,Intimate partner or family member,2013,"Rate per 100,000 population",11.727675540147
CAN,Canada,Intimate partner or family member,2013,"Rate per 100,000 population",23.6667906032315
CHE,Switzerland,Intimate partner or family member,2013,"Rate per 100,000 population",12.6302355624437
COL,Colombia,Intimate partner or family member,2013,"Rate per 100,000 population",5.58844485765585
CZE,Czechia,Intimate partner or family member,2013,"Rate per 100,000 population",5.45686581174523
DEU,Germany,Intimate partner or family member,2013,"Rate per 100,000 population",14.3047945697844
FIN,Finland,Intimate partner or family member,2013,"Rate per 100,000 population",6.68984366016173
HUN,Hungary,Intimate partner or family member,2013,"Rate per 100,000 population",3.45257778329847
MMR,Myanmar,Intimate partner or family member,2013,"Rate per 100,000 population",0.0985116466379354
SVK,Slovakia,Intimate partner or family member,2013,"Rate per 100,000 population",0.468141697128887
SVN,Slovenia,Intimate partner or family member,2013,"Rate per 100,000 population",10.5123730630953
AUS,Australia,Intimate partner or family member,2014,"Rate per 100,000 population",49.2290540371679
AUT,Austria,Intimate partner or family member,2014,"Rate per 100,000 population",12.0184273395643
CAN,Canada,Intimate partner or family member,2014,"Rate per 100,000 population",23.432145607577
CHE,Switzerland,Intimate partner or family member,2014,"Rate per 100,000 population",13.7437455692121
COL,Colombia,Intimate partner or family member,2014,"Rate per 100,000 population",5.53406313243978
CZE,Czechia,Intimate partner or family member,2014,"Rate per 100,000 population",5.45674446140437
DEU,Germany,Intimate partner or family member,2014,"Rate per 100,000 population",13.9867181989264
FIN,Finland,Intimate partner or family member,2014,"Rate per 100,000 population",7.20633984954604
HUN,Hungary,Intimate partner or family member,2014,"Rate per 100,000 population",4.62470606993639
MMR,Myanmar,Intimate partner or family member,2014,"Rate per 100,000 population",0.125019964125521
SVK,Slovakia,Intimate partner or family member,2014,"Rate per 100,000 population",0.575802200428109
SVN,Slovenia,Intimate partner or family member,2014,"Rate per 100,000 population",6.20720016119621
AUS,Australia,Intimate partner or family member,2015,"Rate per 100,000 population",54.1846576771453
AUT,Austria,Intimate partner or family member,2015,"Rate per 100,000 population",12.0517120580443
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2015,"Rate per 100,000 population",22.0086194680664
CAN,Canada,Intimate partner or family member,2015,"Rate per 100,000 population",25.57873626601
CHE,Switzerland,Intimate partner or family member,2015,"Rate per 100,000 population",14.0527043330128
COL,Colombia,Intimate partner or family member,2015,"Rate per 100,000 population",6.54160597684733
CZE,Czechia,Intimate partner or family member,2015,"Rate per 100,000 population",5.28791679248047
DEU,Germany,Intimate partner or family member,2015,"Rate per 100,000 population",13.4444982149655
FIN,Finland,Intimate partner or family member,2015,"Rate per 100,000 population",8.3010156705927
LTU,Lithuania,Intimate partner or family member,2015,"Rate per 100,000 population",1.19375002748767
MMR,Myanmar,Intimate partner or family member,2015,"Rate per 100,000 population",0.116240692317164
NZL,New Zealand,Intimate partner or family member,2015,"Rate per 100,000 population",25.138206696767
ROU,Romania,Intimate partner or family member,2015,"Rate per 100,000 population",2.31802188972352
SVK,Slovakia,Intimate partner or family member,2015,"Rate per 100,000 population",0.0359690105392798
SVN,Slovenia,Intimate partner or family member,2015,"Rate per 100,000 population",5.72177851948981
VEN,Venezuela (Bolivarian Republic of),Intimate partner or family member,2015,"Rate per 100,000 population",0
AUS,Australia,Intimate partner or family member,2016,"Rate per 100,000 population",56.9573828812789
AUT,Austria,Intimate partner or family member,2016,"Rate per 100,000 population",11.9711513254787
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2016,"Rate per 100,000 population",19.0202448628819
CAN,Canada,Intimate partner or family member,2016,"Rate per 100,000 population",28.2121943953752
CHE,Switzerland,Intimate partner or family member,2016,"Rate per 100,000 population",14.9330061798033
COL,Colombia,Intimate partner or family member,2016,"Rate per 100,000 population",7.43322058094518
CZE,Czechia,Intimate partner or family member,2016,"Rate per 100,000 population",5.13930602922826
DEU,Germany,Intimate partner or family member,2016,"Rate per 100,000 population",13.2840843971781
ESP,Spain,Intimate partner or family member,2016,"Rate per 100,000 population",4.64980402555515
FIN,Finland,Intimate partner or family member,2016,"Rate per 100,000 population",9.36045498266702
FRA,France,Intimate partner or family member,2016,"Rate per 100,000 population",24.2429429806889
GUY,Guyana,Intimate partner or family member,2016,"Rate per 100,000 population",1.29306554807876
HRV,Croatia,Intimate partner or family member,2016,"Rate per 100,000 population",11.065878249626
HUN,Hungary,Intimate partner or family member,2016,"Rate per 100,000 population",3.70165011769299
LTU,Lithuania,Intimate partner or family member,2016,"Rate per 100,000 population",1.78067094409266
LVA,Latvia,Intimate partner or family member,2016,"Rate per 100,000 population",0.468306864629344
MMR,Myanmar,Intimate partner or family member,2016,"Rate per 100,000 population",0.153728746472358
MNG,Mongolia,Intimate partner or family member,2016,"Rate per 100,000 population",1.11554265900748
NZL,New Zealand,Intimate partner or family member,2016,"Rate per 100,000 population",22.4780870221881
ROU,Romania,Intimate partner or family member,2016,"Rate per 100,000 population",2.58573043113823
SVK,Slovakia,Intimate partner or family member,2016,"Rate per 100,000 population",0
SVN,Slovenia,Intimate partner or family member,2016,"Rate per 100,000 population",5.71015265141421
VEN,Venezuela (Bolivarian Republic of),Intimate partner or family member,2016,"Rate per 100,000 population",0.841016939569116
AUS,Australia,Intimate partner or family member,2017,"Rate per 100,000 population",60.1699041211623
AUT,Austria,Intimate partner or family member,2017,"Rate per 100,000 population",12.4105240349364
AZE,Azerbaijan,Intimate partner or family member,2017,"Rate per 100,000 population",0.0391712230959799
BHS,Bahamas,Intimate partner or family member,2017,"Rate per 100,000 population",17.8288335606108
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2017,"Rate per 100,000 population",12.0098491313257
CAN,Canada,Intimate partner or family member,2017,"Rate per 100,000 population",41.088438995074
